text,label
well alright but dollhouse is still fricking awesome elishas performance in last weeks episode sold me there too finally,2
the script are amaaazing rusty halo and im yours are my favourites,2
bwahahahaha shut the up is totes following me right now who made the account made me giggle like a school girl,1
crazy we live in a small world and now u live in covina huh thas where im but back to chino i goooo,1
is bored hehehe i hate ipt,0
i wanna go out,1
im playing good because im a big baby,2
hey everyone i just mixed the first single why r u im sooo excited,2
finito hunk ah hunk of burning love i do believe my camera phone is stuffed stupid blurryness,0
saimee 26 july underage festival 2 august i found some others but they were too far away,1
nvm i just got ur message that ur sick,1
and again youre welcome,2
my bracelet broke today too,0
the arrival of cargo red g5 to toronto has been postponed til tomorrow afternoon gonna miss my lil bros bdayhes been waiting 4 me,0
looks great love the way they did the bottom,2
in 1st period i hate this class cant wait until im home ill b the happiest person in the world wen im home,1
heyy dude yuup thats it really hows your monday x,1
at work oh no its the first day of monthly visitor ahhhhhh,1
the cd player in my car is broken so much for listening to my kidz bop happy meal cd,0
havent worked there for a long time but kinda miss it i miss anna seen her ill prob be in slo most of the summer you,0
ill buy you one,1
omg i finished my history childrens book just need 2 make it pretty and print it off and im done whoo,1
thats got to be hard my parents have been apart most of their marriage for 6 months this year t i will be 10k mi apart,0
it involves posting your thoughts and reading others mrbean you got a new number btw had no txts back from you,1
nobody likes to feel low priority,0
hey we were at tallebudgera creek at 5pmvisiting anitas special treecould have almost bumped into you,1
raises hand oh oh me too caffeine,1
still doing grench paper and still getting distracted,0
just bought 6 new movies,1
ooh i feel so sleepy its 1024 am and i dont wanna go to school 2day but i have to,0
i got a text from this guy who i dont like and who has the same name as the guy i do how disapointing,0
i need lele to answer meeee haha,2
i know i think im like dieing,0
still no pool key wth its even hot out today,0
im really nervous about giving a speech at a wedding tomorrow,0
its a peter gordon morning and i go to pieces and i wanna hide go to pieces and i almost die ever,1
you are such a beautiful bride youre gonna love the married life it absolutely rocks congrats to you both,2
welcome back chica hope you had a nice break,2
on your ani sorry,0
im not going to my dads tonight and hes got a 12 foot pool he has to tell me that hes got things when im not going,1
everyone follow and they are amazing,2
you certainly can and good morning to you,1
school i wish it would just end already,2
a blouse ahahaha i gave her money and she went to get it wheres your mom,1
lovely morning to cycle to work but met with a 29 degree office,2
my parents withdrew permission at the last moment i am not going along with tomorrows sac trip to idp camps pakistan idprelief,1
why did u copy wot i wrote hmm,1
just went a bought the bigest redbull i could find its going to be a long day at the office,0
i am letting you read this,1
haha his heads bigger than yours awwwh lol,2
magazine thats no dream for me thats reality cs4 is on my wishlist,1
this early in the morning they probably wont even need much makeup,1
i just watched that episode again last night,1
im so tired i dont get how i am i sat on the lawn mower and didnt push the whole thing,0
at least you have a large vocabulary the benefit of being a writer hope youre well sister,2
somewhere in the center,1
haha true thankfully the regular keyboard does the job most of the time,2
while on vacation having golden times spamming google by 5350 redirects,2
personally i could not decide which election sign to place on north40 last fall reagan 08 tjefferson 08 or troosevelt 08,1
wish i could be there too enjoy your weekend,2
agree,1
congradts on ur show even tho i wasnt there lol,2
i find mondays are the busiest days i come into work and there are 100 things to do cause the boss works weekends,1
i miss the seniors already,0
sky diving was aaaaaawwwesome kinda bored now though,1
thinking of ways to promote indie designers benefiting them and moi any thoughts indies what you do have to say,2
oh wow thanks wayne,2
i feel sicklike dont wanna get out of bed be bothered dont go 2 work turn da light off pull da shades n tv off type of sick,0
happy did crepe again,1
98 thats my favorite partlolok ill just keep in stock alot then,2
its two o clock in the morning,1
tired of hearing stories about everybody going to ibiza,0
i hope my morning show doesnt get cancelled,2
i did thanks laura,2
smooches to you as well have a great day,2
i would like some macaroni and cheese pleaseno,1
bank holiday rain superb but a great excuse not to start gardening in the jungle at the back of our house eating it is then,2
soooo happy your back,2
i like already new follower to join in midst of zombies mayhem,2
i hate this weather when u have lived here ure whole life u get used to itmay is always rainy,0
my brother is irritating and not just bc he takes wears my clothes without asking i want to punch him violently for he does,0
omg you have curly hair too cute,2
its not sooo noticable it depends on how you look at itbut i know its there and now my ipod isnt perfect,0
thanks okiebud i get the messagesorry the content you selected is not currently available,1
experiencing the unique winnipeg tradition known as the social trying to pace myself,2
just left you a message hope you get it,1
tinternet on blackberry fooked so no checking of the tweets and whether phill has taken up my request,1
happy mothers day mom i love you,2
is so sick of myself my life im never going to be as good i want need to be xoxoxo 3,0
home from ice cream tweetup my very first tweetup no pics because my camera battery died last night and i forgot to charge it,0
thanks yes a lot,2
interesting to see the differing accounts mandy is always very pc in all her accounts her robbie is a monk,1
buenos dias mundo de twitter eating bfast and watching sex on fire video b4 i go to work,1
i look like a freaking tomato goin to graduation,1
i know the feeling its a little depressing s,0
coldstone with kayla and some fat guys but she is all that matters,2
last day at dma over a million sad faces,0
gooooooood night cant believe tomoroo is cancelled but still gonna be a giid night gni cant beat them,1
dont think you would be happy if you were,2
gratiss,1
started the week with a wedding now ending the week with a funeral,1
i have just read up on lactose stuff and i can eat hard cheese there is no lactose in it jumps of joy this rainy day yay,2
the fam back on the big island said the vog has been so bad that they cant see the ocean sad,0
i miss that place but miss wegmans even more whole foods wegmans,0
just discovered a shortcoming of gravity when you use twitpic integrated it doesnt subtract the pic url from the 140 character limit,1
well nothing i can give you a pen,1
i can safely say i wont be a euro winner this week,1
had a great talk with tony this afternoon were going to give it another go,2
they are people too,1
i fee your pain its lady ga ga and it will drive you insane oh dear god her songs are in my head,0
haha not sure what local is to you but if i was then youd have to fight me for it,1
as do i leopold says hello,1
thanks will do,2
aaaagh aircon not working in my office,0
i love my hair blowin in the wind,2
check out her new song sentimental watajokeental shes a fren,1
thanks i just found a article that say i cannot join you because i am in the uk though,2
how much,1
wishes the rain would stop so my stupid headache would go away,0
thanks my moms seed is larger and already cracked and planted i hope avalina isnt a dud,0
i told myself i wasnt gonna cry and then one kid that everyone made fun of all year said its been a good year,1
congratulations you two are so well suited have a lovely day x,2
theres nothing like your own pillow,1
y cant we all just get along,0
i am so sorry i missed your tweet i was on a nice long chat across the border with pastel did you want the recipe email,0
car just drove past my house blasting celine dions its all coming back to me now,1
why are some guys so stupid they have no idea what to do with a good girl who actually cares about themso sad,0
i am sitting at the computer eating grapes its hailing outside o i miss summer,0
actually i think the na release date was confirmed for september so its a bit more of a wait,1
i dont like being sick when the guidance counsellor is supposed to take me 35 other kids out of school for bowling pizza,0
finally finished my film final well all except 1 part but idk how to do it,1
ill take a look tomorrow definitely want to graph as many tweets as possible,1
oh no i am always here 3,1
it happened to me the other day customer asked me to ship to her work address i sent her another one,1
its tomorrow,1
hahaha my boyfriend yeah he looked so different there but hes so cute i so want to watch the movie,2
what is love baby dont hurt me dont hurt me no more i want to watch night at the ruxbury right now,0
i love them,2
what a gorgeous day and im going to be stuck in a lab for the next 9 hours or so,2
can you repeat what was bad about singapore pools website please,1
yay snl is on,2
view of atlas mountains morocco across the straits of gibraltar i took the other day from europa point gib,1
big day 2day the xt launch was amazing so much free stuff thanx 2 the edge and telecom found the phone i wantcnt afford it yet tho,2
awwww bless her she needs another chance,2
me too please come online hope youve had an amazing weekend,2
i have sore throat thats suck,0
im going to go to bed again ear both infection i am completely dizzy yyyyuck my stomach is hurting too peaceout loves,0
it sucks no matter where you are im gonna freakin be late for work,0
aah well have a few friends over there just wondering if alls great and weathers been good,2
the eagles make saturday nights so much better,2
first of all i love your picture picture the boyfriend jackie fml why havent you embraced the phone,1
ummokjust dont start cats on fire promise,0
i joined this because i think my smith chips invent a flavour competion entry wont be recognised its sweetpotatoe and seasalt flavour,1
i was in chiangmai for a month last year during loy krathong best festival ever,2
why am i even trying to go to sleep its 28c in here i miss the cold winter nights,0
oh no my kindergarten teacher died mrs collinson always remembered every student she ever had loved that lady,2
band practice,1
trying to sleep watching cnn and thinking about todays meeting at workbest buy 247 in my life oh well whatever pays the alcohol,1
lol you can see the sunburnnn its not achurley that bad least i dont think it is xd,1
just loves having proper inet back,2
just found two very moldy and squishy reasons why non cracker based foods arent allowed in the play room when moms away,1
and most of us are going to be stuck in an office some without windows,0
barbs trying to figure out y the dsl aint connecting i need my google going home to my computer if it dont start working soon smh,1
dammit hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers so i cant watch and code,0
i have to give up my beloved red sox tickets argh meeting was just scheduled in ca,0
dont get too excited bby i hear thunder rolling in,0
i know i cant go eitherits sad she needs to come back to mi asap haha,0
im a celebrity tooooo,1
lol good luck with that love your vid for ybwm,2
me toobut im goitn to go to showerand cleanin up my room and later eat somethin,1
good morning work and then its espns sunday night baseball hopefully it wont get rained out,2
i shudder at the thought of what she was thinking shed do with it if shed managed to reclaim it,1
the commies at their finest youtube and blogger are blocked in china no updates from us while we are in china but great wall conquered,2
oops i did it againreally shouldnt have,0
bows glad to be of service,2
besides i havent had strep for like 10 years because of that reason im more tired than anything else,0
i can honestly say that thematic had a big part in my blogging enthusiam i love being able to do what i want,2
chillin wassup ma ayo in cali my day just started idk where u r but u have a gud day ya diggg,2
im enjoying this sunday very much no parents no revision just like any other sunday,2
home tonight was so much fun goodnight twitterbugs,2
yeah i posted it in the news blog yesterday,1
waiting to be picked up were off to aston this morning,1
oh i see what you mean that is true if they are used improperly which we know they are,1
ahh dave canada isnt included thats okay we still love ya lets get this,2
hey tom im happy that youre enjoying brazil but im sad cuz im not goin to see you in your show,1
thank you and hope you are having a great day,2
life sucks if ur not having fun,0
oo and studied today outside after having a benjerrys wearing a sundress hopefully didnt get an awkward tan line haha,2
gonna celebrate mothers day with the family but gonna start the partying tonite,2
having fever dont feel to work,0
had such a fun time with allegra tonite we saw 17again good movie,2
why do you not respond me,0
dude you are awesome,2
wants to meet jeff hardy and beth britt so bad its soo annoying x x,0
im trying my dang hardest to not watch the movie again until i finish the book again,0
happy mothers day no gift to your mother can ever equal her gift to you life,2
in bed watching rove,1
its too beautiful to stay inside,2
tech i just woke up a little while ago i did sleep a couple of hours lol im wide awake now,1
hey dave whasup,1
ha yea you are so not allowed days of rest way too many interesting ideas to incorporate into tweetdeck,2
does it mean you will b going 2 bed earlier on mondays,1
i agree,2
omg i want full jb hey baby song,1
hello world,1
so i finally got my but on twitter lets hope i make good use of this site,2
stop itt,1
mel where are you you shud be here at my house,1
i just stuck my finger down my throat and there are a bunch of bumps on my tongue throat,0
i know,1
huh pr from 5 to 2,1
thanks so much we love fanmail talk to us anytime,2
sure my entire blogroll is terribly updated but this could motivate me to update and redo it,2
ready its raining in miami though go cavs right,1
thanks to the forever 21 curse that makes you spend 3 hours there everytime you go in i couldnt go tanning today,0
i hate going to work on nights that im in micro at least i get to work with,0
word is marlon brando gave him 25 cent yeah tha godfather,1
better then her getting mad and using the floor,1
what i said ill have to think about it and try again,1
waiting for natie to come online i miss him,0
i was an extra got ready for work for nothing studying all night,1
i miss yoooouuuu,0
i love his nose kisses,2
babe ive been aight urselff,1
dont remind me was supposed 2 meet up with the homie 2 4 that show ack so kill it pleasedo the thang,1
eating,1
i have to spend lots of our money on a new boilergreat not so lucky hey,1
dude can you really be a bachelor at this point dont worry about it,2
once i hit christian in the head with a metal bat haha he then socked me in the eye haha i miss being a reckless little kid,0
only 2 more days of minnie,1
is not looking forward to the lsat,1
dang yall mothers day already goodnight twitter world i start shooting monday,1
depressed that both of those are already out but yours isnt i want your book,1
so im taking my life guarding classes fri 79pm sat 96pm sun 94pm and mon 3630pm live eat and breath life guard stuff yay,2
bar exam madness topic for today is torts,1
indeed we live a life on the edge of things and one foot foul of the law,0
at dads watching some mtv and am going on sims2 in a minutee,1
coppinger nope day off sleep time ha,1
show 147 in prepre production a bit behind,0
new supernatural tonight,2
check it out check it out check it out,1
yeh yeh i would switch to cingular but i have more friends on tmobile free minutes yo,1
well i did run over a cat today i know how sad i cried and screamed my lungs out i felt horrible poor thing,0
on my way to orlando and its raining,1
wishing i could go to cabo tonight,2
hott as africa lol yeah its hot here too and its a big storm here,1
yeah age of aquarius is a pretty scary song,0
lol its not the same,2
hey hunny bunny whats a weekend is that like a day off or something,1
congrat on 4am i do it every day since one month,2
have to return my sideways meds and bills,0
we r the lost troopers but i want to know,0
its a bank holiday stupid wait they dont have bank holidays in america okay keep on celebreting,2
2 days 5 text messages this month,1
i think i have mine in hangers in the closet,1
go to bed mister u need your beauty sleep,1
exactly well im off to pick my sister up speak laters enjoy your afternoon of pub and shelving lol,2
slept at my parents the bed was hard as a rock now my back feels like a rock,0
lmaobut youll still have me i am thoroughly enjoying our conversation,2
mcfly lol nah of course youll get the dvd first since youve already ordered it ill sign up to bebo on tuesday then lol,1
i started xslimmer at eight this morning its still going i hate that it always wants my friggin password,0
inspection went fine they like the house woopee would just be nice if it had been this morning so i could have done stuffs today,2
yea its tough to keep it going sometimes im not sure its worth it,0
haha good for you,2
my life,0
dude saw your twitter profile after a long time love the background way way cool,2
wishing all the mommies out there a very happy day,2
volunteering at down syndrome indiana on wednesday,1
vacation over looking forward to the next one,2
everybody is awake well not everybody u know what i mean ma friends haha and im having fun aiming them,2
what i have to resort to wearing today cause i havent finished my laundry lol,2
its about to stormsoo much 4 goin out ill just play on the net for awhile,1
lindsay we are your spanish fansite and we love you please reply us i wish you a good flight 3,2
so far absolutely perfect great view directly across from the elevators and ice machine and impecible weather i need my bike,2
i know its such a shame i think theyve got a good chance i hope they do coz they are different arent they great,1
sad that school is over gonna miss all my friends and teachers,0
theheck haha lol the english work they doo in college,2
haha me tooooo i miss you i havnt seen you in ages,0
omg i forgot about that you lucky thing hope you have fun x,1
no panasonic chargersorry,0
allergies suck ducks nuts 8,0
waitin for the man to get home so he can take me out been waitin 4 hours,1
lol im the night owl queen why you up,1
home after spending a day catching up with my old pals,1
have irma vep rehearsals nonot really,1
amichael cute thanks for sharing and please direct message me before you go to bed james you know you want to,2
the best job in the world yes its in australia,2
yup thats dianne and claudia dianne is new to tweetville claudia has been on a while but not active here,1
thinks its annoying when i keep getting twitter error messages from my mobile,0
apparently im not getting drives to school in the morning anymore well my dad left so no school for me this morning watching twilight,1
is working 4 to close,1
good eatin hey follow my son hes on now,2
good luck oh and i are playing inthe mixed knockout this week playing the pros 14yr old son playing off 5 top woman off 6,2
i love you baby,2
louise lucky me there are mystery ingredients as well,1
signing off folk might be back on later,1
at the theatre seeing star trek for a second time becuase i am that cool,2
im sleepy but is feeling under the weather ugh these tonsils i need some company or somebody to talk too,0
i am having serious problems concentrating on this press release this afternooni have sleepy eyes right now,0
too bad im work,0
funny you should sayam filling it out as we speak cheers,2
it started out so lovely this morning now looks like its gonna chuck it down,2
awethank you jon,2
holy its super sunny friday and whitsun my tube is deeeesearted wish i was in the park,0
heeeey good luck for unair sweet,2
need a camera blower my camera censor is dirteeh,0
straycat i sorry me no like when people i like dont feel well your tummy,0
ssshhh everybody i think is asleep dont disturb him,0
cant believe i just drove all the way back to schoolwhatever happy mothers day mommy precious candis and granny,2
you wanna know whats worse my coworker just brewed a fresh cup of coffee and all i can think about is bacon,0
im duong in vietnam where r u from im 19 i dont understand what you wrote down in twitter please tell me thanks,1
mayer id like to see a picture of you carl and john where everyone can read from your faces youre proud of and you love eachother,2
working listening to musictesting out a new singerguitarist tonight lets hope for the best,2
omg thats right hahaha im stupid,0
good morning everyone enjoy your day thinking of all my tweet friends,2
yeah i guess he does sound a bit odd cause hes saying really quickly,1
ngobrolin favorite bands at the moment cii kesian ya kamu speakernya rusak hahaha benerin dong ci,2
flew brisbane lax today great flight love the lights shame about one drink limit though,1
and he really doesnt like shiny happy people im a local rem expert btw saw them for the first time in 1986,0
no one is at the tesla dealership,1
i think i have same disorder stay up al night 4 no reason n sleep al day suuuks,0
watching neighbourss,1
uppercut that was such an old man thing to say,1
no this is not redirects this is just updating posts on our website massagedk next item publish next item pulish,1
so sad you didnt day hello to me,0
hey ty for tip wifi networking is one if my many talents ill get on it when i can be bothered lol,1
perky purple nail polish isnt as perky when its chipped,1
my head is hurting,0
so happy that its finally may the indy 500 was there for the horrors of 1973 yet i still remain held captive by indys spirit,2
yep,1
wud like to but i actually have a free weekend this time and family is visiting so im staying put next time,1
sl happy sunday to you to,2
watching the simpsons,1
so i have like no more friends its kinda sad,0
glad you got there safe saw your daughter enjoy your time there,2
oh ok then ive been there before for a wedding it was heaps nice there im a big fan of qld,2
is lets chat,1
yvonne thanks 4 the ffrecommend lovely profile photo you have and i agree wu on the what is sleep lol its 546 am,2
going to see star trek with my babe im actually excited about this hah,2
i dont know why but i lold,1
money laundering tip 5 sell the business or constructed hotel etc and take possession of your now clean money,1
i have myself barely 4 hrs of sleep and the lord blessed me with what feels like 8 but it came with a sore throat pumpin out this paper,1
thats family for you imna crash woke up 630 3 days in a rowlol,0
sittting in my seat watching the tyra show,1
happy belated birthday to billy i forgot to say that on his bday i feel aweful,1
just missed to answer his im again for the nth time this is making me sad whenever he im which is all the time i am always out,0
looks exactly like i do when i get that gh guitar in my hand,1
im on it probably not until next week though,1
errg i cant believe that i am not working at all next week i think its time to move on from chick fil a,0
this is my anthem right now dont leave me high and dry,1
oh gaha no of course i wasnt offended why would i be id love to play for you some day,2
i dislike math but math hates me,0
dad no trips to lahore for you me i do live in dc nyc which also big targets bummer no pizza hut chicken tikka pizza for me,0
in toronto waiting for you 48 days to go,2
sounds like you all had a great night im glad it was successful,2
me too need some tour dates stat,1
hey dude im finishing my lullaby dude i saw a pic of you w long hair umm lets just say keep it short ha,1
educator thanks photos look great ill comment them asap,2
have a safe journey back home hope you come back soon,2
you are what u eat isnt exactly true you are what u digest todayisaprosperous productive day thankujesus beyeblessed hee hee,2
i was right about the wave off,1
arrr exam is on next week im dead bwahahaha i love you btw,1
happy friday do u know how i can get a copy of the bt art u did on mels fake twitter im n it but cant find it now thx,2
stu is actually severly sunburntit hurts,0
yrbook signing w evryone was fun im gna miss evrything,1
i know ahh so fun,2
yay finished my journal gonna go sleep now church tomorrow yay dont forget its mothers day,2
kakabalik lang from tarlac good aftie,2
ugh too much happened today i really need a hug,0
i miss my friends so much,0
eyedea i love lastfm but find it a lot easier and more content on spotify add me on if you like,2
i hope your mom is ok,2
happy mothers day to all the moms out there but especially to my wonderfuly mommy,2
big booming thunder storm almost here maybe we can all go home early ah probably not,1
spend a great time with family and friends thanks you guys,2
today jon doe plays at the moho ia m excited its gonna be funny but before i have to carry all the equipment and do the backline,2
12 more days until ca i get to see my paniniii,1
just got back from donating blood,1
haha rite im freeeeeeee britneys spears listenin time,1
is home alone doing hw,1
you were absolutely amazing in the wolverine youre sooo beautiful youre also such an amazing person i look up to u,2
it was indeed made my life,2
about to lock in on getting better staying,1
thinking 0f him 3,1
lol girl i cannot stop i am a student i cant afford 14 a pop eyeshadows but i am so hooked,1
hitting the docks soon,1
would you travel to the uk for one the big us meets sound great id love to go to one of those so many furs so much art,2
pretty sure im sat on the wrong train going the wrong way bah,0
i dont understand sensexbut wow,1
i think i might fall in love with jihoon in boys over flower,2
i ask myself that all the time,1
oh please mark all toe tweets with toe is trying to make trening topic out of toe,1
shopping migawd i dont want to surf the net anymore,1
aright twitter fam guess ima be outties gonna try n sleep off some of this horrible pain,0
house season 5 good stuff time with gf priceless,2
ideas gallore rock opera ftw yes tweets kayleigh and i are writing a rock opera for more info email us coatandkaycom,1
benson woohoo well done i started macarenaing too,2
aww he must be an amazing brother,2
ahh yay so youre gonna get it,2
issayin happy mothers day 2 everyone,2
guten morgen good morning,2
are u serious you touched his ohmygod u lol aaaaawwwwwww y did u tell me that,0
working but its fridaaaayyyyy,1
morning football today thinking of learning some applescript,1
yeah and in the tatami room kids tatami dont mix,1
watching snl yay for hosting i love him,2
cant even tell you how much this hair dresser is pissssssing me off she has no clue wtf im asking her to doso im expecting the worst,0
really cuz kccom said it was releasd 244 here n the main station doesnt even hav it,1
its too early to be up,1
i think the very late night on friday just hit me off to town to meet a friend soon for ice cream and coffee,1
got me a dark red hair dye going to get some bleach,1
hey u forgot me,0
workout stunkno headphones,1
so im kinda pissed that boys like girls is gonna be at kentucky kingdom on a date i already have a show,0
gymnastics time my last night for teaching friday evening classes new summer schedule starts next week,1
im having a problem with my photo here in twitter amfcant see my face,0
if its too hard go to ur guy peicing person and he shoud change it cause mine be hard to change to,0
now accepting maid applications would be nice if youd start first thing tomorrow would make a wonderful mothers day present,2
playing my new ds lite love it,2
past experiences of being a redhead eg discrimination or even just general info bout gingers in society it all helps,2
sensation ocean of white portugal absolutely amazing adoreiii,2
oh no hubs is so sick i hope i dont catch it,1
aww im sorry glad mommy took care of you erin is in for some fun if theres a bug on you in colorado,1
i shall drink lots,1
no email just kidding it can wait filling out form now seriously,1
happy mothers day to every mommy out there,0
pange ahahahahaha you two could meet up for drinks,1
just got back from my exam im surely gonna failnow trying 2 get tickets 4 il divo someone doesnt want us 2b there,0
just got my heart ripped out i love you guys,2
been working so hard its a drag not having time to tweet,0
haha im bored i think ill go watch a movie bbl,0
get well soon,2
hiyaaaaaa just got back from the scan wow was amazing i cried haha,1
pop idk how to reply to ur tweet from my phone lol but yeah my bday is in a few days soooo excited,2
pe awesomeness phillip hasnt completely finished it but if goes up down left and right,1
the most amazing decoration of a store ive ever seen its almost been 2 years,2
thanks for agreeing with me,2
okay so im dedicating my 300th tweet to the fact that im going to the apple store because there is a huge crack on the glass screen,1
oh noes not your average joes in lexington is closing sad,0
just dropped my new mobile down the loo fingers crossed it works as i still have 175mths left on the contract,2
thanks scared of dentists looks like i am going to have to get over it and go,2
in 8th grade yearbook for narnia movie release blurb pic of aslan and my skandar,1
devil1 big brother quiz what im too busy rocking out on guitar hero i didnt notice any such thing,1
may the 4th be with you starwarsday via,1
oh are we not doing that anymore,1
eating cheeto puffs,1
were running out of things to tweet to you wish we could get your reply come to the philippines tweeet,1
wants to cool down,2
yeah just knew him because of your link hes completely amazing and he sings phantom,2
ohhh i remember when you gave your dad a shoutout at the mcr at msg show last year that was so sweet,2
aww im ok been stuck on a coach coming back from nans today and its been lovely sunshine too,2
just finished baking some cinnamon rolls soooo yummy,2
happy mothers day to every single mom out there i love my mommy,2
my mom is a nurse practitionerspent entire life devoted to the field the good ones deserve to be recognized ill follow her,2
then your gaaay,1
i dont know what does it take to butter you up actual butter xoxo,1
might be interested thanks i was i came i saw i winced too much like flatland,2
buthesmine you told me a couple of weeks ago that you didnt find any other guys hot apart from the ones you,0
when i heard no one from alicia keys like 10 minutes ago you made my night,1
i bet black planet lol i didnt have a problem with it but she was ugly,1
this world makes me sad,0
mom says i have to get a new phone immediatelyoff to tmobile she paying,1
goodnight all in the twitterverse,2
i just noticed that too,1
you work really hard so sometimes you need a break haha so yeahjust let me know if you need help in anythin,2
no i havent got mine yet did u get yours,1
just downloaded twitterberry my life is now even more convenient,2
scared waiting for the call,0
im not going sadly maybe next year eh,0
so excited for you and paris ooh lala i look forward to knowing you a long long time lovely hugs n kisses g,2
ha thanks bryan and dont remind me about the state budget issues actually steve only has 6 staffers in 3 offices,2
shes hot what is up w all the unknown followers ive got quite a few no clue as to why theyre following me,2
happy mothers day to all mums,2
yes yes she is indeed nuts like me though i am not rich tut x,0
the right side of my earphones just stopped working all of a sudden now i need to buy new ones,0
wish we had a garden so we could have a bbq tonight might set up a lounge bbq type thing thatll work fridayfirehazzard,2
haha we had balcony seats not that great theres a giant dragon thing that has glowing red eyes and moves its wings,0
i got it,1
that is so lovely,2
im very upset right now like i cant even formulate a complete thought,0
why you never answer me wath i say to you,0
bacon fail ended up with a commiseration muffin,0
i missed the game,0
listening to lady gaga relatives just left after our mothers day celebration,1
i dont like waiting,0
you are right if you ordered a static ip it should have been set up i apologize if it was not,1
yay i have mark issues tooyoull find i have a lot of issues lmao,0
20 john,1
i am so sad how come pooch hall from the game has not accepted my friend request on facebook yet,0
i wish he was still around there was a litter under our azalea i caught dd in the back yard 6 am with bunnies in her lap,1
night nurse s,1
wants her boo btw love fhnixons posts hilarious,2
homesan diego why did the san jose weather fallow me,1
and now its raining,1
ooow those look painful poor bb,0
cant i just be a stay at home mom already,1
does anyone out there want to be really awesome and buy me one of these for my birthday,1
number 999 my next tweet must be something really special,2
the dog dug a hole in the backyard well iwas sleeping now im grounded,0
ur welcomeanytime,2
that preview of a trailer for new moon was a joke14 seconds still watched it tho twice lol figured i missed something still sick,0
ok babe gotta go back to work tweet you later,1
heyy nat twitter twitter twitter youll get used to it hahaha love youuuuuuuuuuu,2
i want to go to vp but no one is willing to come with me,1
